employee_id,name,department,position,age,salary,years_experience,performance_score,bonus,hire_date
179,Employee_179,Operations,VP,42,,31,3.53,3586.61,2015-06-28
180,Employee_180,Engineering,Junior,39,79579.65,34,4.08,2677.92,2015-06-29
181,Employee_181,Engineering,VP,24,79791.53,9,4.98,4322.31,2015-06-30
182,Employee_182,Engineering,Junior,63,93078.46,2,1.04,914.88,2015-07-01
183,Employee_183,Marketing,Senior,60,44206.67,11,3.92,7466.03,2015-07-02
184,Employee_184,Operations,Director,62,45274.46,30,3.29,125.96,2015-07-03
185,Employee_185,Engineering,Junior,32,85579.16,28,2.74,6444.85,2015-07-04
186,Employee_186,HR,VP,60,34220.77,4,1.51,1828.65,2015-07-05
187,Employee_187,Finance,Senior,45,78666.0,24,2.64,2324.04,2015-07-06
188,Employee_188,Engineering,Junior,40,51394.14,30,2.42,6356.32,2015-07-07
189,Employee_189,Marketing,Manager,25,,20,2.21,9929.43,2015-07-08
190,Employee_190,Operations,Director,47,80009.05,19,,7777.17,2015-07-09
191,Employee_191,Marketing,Junior,59,70616.88,38,3.8,2258.4,2015-07-10
192,Employee_192,Engineering,Senior,63,99554.42,21,3.36,1760.25,2015-07-11
193,Employee_193,Operations,Manager,53,53731.96,3,4.75,8662.33,2015-07-12
194,Employee_194,Finance,Senior,60,57531.81,12,2.4,4441.84,2015-07-13
195,Employee_195,Engineering,Senior,57,49770.9,19,1.98,1370.53,2015-07-14
196,Employee_196,Marketing,Manager,61,57699.22,12,3.62,8622.11,2015-07-15
197,Employee_197,Sales,Senior,58,76222.31,16,1.8,8160.92,2015-07-16
198,Employee_198,HR,Manager,54,84879.04,35,2.26,9839.06,2015-07-17
199,Employee_199,Marketing,Junior,57,94228.43,32,1.9,9097.44,2015-07-18
200,Employee_200,Operations,Manager,24,38505.52,0,1.28,8517.9,2015-07-19
201,Employee_201,Engineering,Manager,30,71562.74,14,4.31,525.74,2015-07-20
202,Employee_202,HR,Director,29,52836.71,12,2.02,1044.15,2015-07-21
203,Employee_203,Engineering,Manager,54,70894.26,16,2.89,5689.83,2015-07-22
204,Employee_204,Operations,Manager,27,121683.27,23,1.17,5314.79,2015-07-23
205,Employee_205,Engineering,Junior,62,80837.24,7,3.8,4579.63,2015-07-24
206,Employee_206,Sales,Director,60,92989.3,26,2.32,3967.89,2015-07-25
207,Employee_207,HR,VP,25,114213.83,22,3.98,4312.1,2015-07-26
208,Employee_208,HR,Junior,34,97547.16,7,2.65,5692.98,2015-07-27
209,Employee_209,Operations,Junior,23,66041.71,7,1.78,20.77,2015-07-28
210,Employee_210,Sales,VP,26,49483.36,25,3.05,2607.09,2015-07-29
211,Employee_211,Marketing,Manager,48,74397.11,12,1.52,5182.8,2015-07-30
212,Employee_212,Engineering,Senior,53,63645.88,38,2.76,7222.16,2015-07-31
213,Employee_213,Finance,Director,42,44509.57,36,2.27,1741.57,2015-08-01
214,Employee_214,Engineering,Senior,29,79818.5,27,4.65,5468.81,2015-08-02
215,Employee_215,Engineering,VP,59,80317.73,24,1.24,7144.6,2015-08-03
216,Employee_216,Marketing,Junior,29,110382.33,15,3.78,4446.28,2015-08-04
217,Employee_217,Engineering,Junior,24,67764.74,1,1.73,270.81,2015-08-05
218,Employee_218,Sales,Director,24,80602.43,17,2.28,4492.68,2015-08-06
219,Employee_219,Sales,Junior,43,61690.29,16,2.66,2964.45,2015-08-07
220,Employee_220,HR,Junior,27,92463.39,29,4.63,9296.5,2015-08-08
221,Employee_221,Operations,Director,23,72507.64,38,1.97,1246.13,2015-08-09
222,Employee_222,Finance,Director,44,51548.17,12,1.37,6524.76,2015-08-10
223,Employee_223,Engineering,VP,23,74730.56,31,2.27,527.2,2015-08-11
224,Employee_224,Engineering,Junior,59,82810.46,28,1.42,4461.7,2015-08-12
225,Employee_225,Marketing,Junior,38,80105.47,29,1.51,5539.79,2015-08-13
226,Employee_226,Operations,VP,56,95917.93,17,3.3,2979.55,2015-08-14
227,Employee_227,Sales,Manager,55,46038.87,12,1.24,4550.76,2015-08-15
228,Employee_228,Finance,Manager,44,58145.15,20,1.12,1635.54,2015-08-16
229,Employee_229,HR,Manager,51,87795.75,29,3.86,3041.24,2015-08-17
230,Employee_230,Sales,VP,29,60494.62,20,2.45,6211.06,2015-08-18
231,Employee_231,Operations,Junior,43,79809.42,16,1.5,3018.0,2015-08-19
232,Employee_232,HR,VP,57,26605.1,39,2.01,8997.43,2015-08-20
233,Employee_233,Marketing,VP,26,129318.93,18,3.57,6284.07,2015-08-21
234,Employee_234,Marketing,Manager,34,69605.63,14,2.1,4386.49,2015-08-22
235,Employee_235,Engineering,Senior,50,98879.13,8,2.98,387.57,2015-08-23
236,Employee_236,Operations,Junior,52,68262.04,9,1.49,4995.48,2015-08-24
237,Employee_237,Finance,Manager,37,83293.97,30,3.35,7647.76,2015-08-25
238,Employee_238,HR,Senior,63,104838.39,22,2.26,2655.58,2015-08-26
239,Employee_239,Sales,Senior,51,98316.12,29,3.51,8067.74,2015-08-27
240,Employee_240,Operations,Director,37,70910.9,32,4.23,2518.07,2015-08-28
241,Employee_241,Operations,Junior,33,72294.91,8,3.45,8237.46,2015-08-29
242,Employee_242,Marketing,Senior,38,95071.33,0,2.18,852.68,2015-08-30
243,Employee_243,Engineering,Manager,37,,34,2.02,8661.84,2015-08-31
244,Employee_244,Engineering,Director,33,78845.65,10,2.31,4991.86,2015-09-01
245,Employee_245,HR,Junior,29,114141.27,33,1.66,2965.38,2015-09-02
246,Employee_246,Marketing,VP,41,70171.71,15,1.72,2651.13,2015-09-03
247,Employee_247,Operations,Manager,24,94039.21,8,4.16,4320.11,2015-09-04
248,Employee_248,Finance,Senior,37,97023.12,31,2.54,9990.49,2015-09-05
249,Employee_249,Marketing,Senior,51,66800.79,14,2.74,2203.27,2015-09-06
250,Employee_250,HR,Manager,44,60058.44,11,3.38,1032.17,2015-09-07
251,Employee_251,HR,Senior,49,97907.78,32,3.36,5850.35,2015-09-08
252,Employee_252,Marketing,Director,61,64368.86,13,1.27,4885.42,2015-09-09
253,Employee_253,HR,Junior,26,57113.0,7,4.33,5241.96,2015-09-10
254,Employee_254,Marketing,Director,41,61320.81,7,1.71,6669.35,2015-09-11
255,Employee_255,Sales,Senior,61,,26,3.89,2671.44,2015-09-12
256,Employee_256,Marketing,VP,22,92132.34,11,4.09,9106.65,2015-09-13
257,Employee_257,Marketing,Junior,51,85300.85,0,3.86,4356.72,2015-09-14
258,Employee_258,HR,Junior,42,89313.16,39,3.32,1290.86,2015-09-15
259,Employee_259,HR,Manager,41,83427.6,10,1.06,7422.99,2015-09-16
260,Employee_260,Engineering,Manager,27,63123.2,38,2.44,6431.04,2015-09-17
261,Employee_261,Engineering,VP,43,88942.06,30,3.42,3157.43,2015-09-18
262,Employee_262,Sales,Junior,39,98649.08,16,2.55,6215.19,2015-09-19
263,Employee_263,Engineering,VP,29,86690.06,32,4.45,2198.62,2015-09-20
264,Employee_264,Marketing,Manager,60,,31,2.24,4448.39,2015-09-21
265,Employee_265,HR,Manager,53,59658.91,28,2.17,8994.13,2015-09-22
266,Employee_266,Engineering,Junior,54,79236.34,20,2.06,1335.34,2015-09-23
267,Employee_267,Engineering,Director,37,58595.17,20,2.33,3866.96,2015-09-24
268,Employee_268,Sales,Senior,33,74519.44,39,3.23,8211.42,2015-09-25
269,Employee_269,Operations,Manager,59,42194.67,22,3.83,9694.91,2015-09-26
270,Employee_270,Sales,Manager,55,42348.83,5,3.65,4539.26,2015-09-27
271,Employee_271,Marketing,Director,35,71179.05,21,4.23,5070.0,2015-09-28
272,Employee_272,HR,Director,57,64031.21,37,,5721.72,2015-09-29
273,Employee_273,Sales,VP,54,77135.74,36,4.26,9323.48,2015-09-30
274,Employee_274,Engineering,VP,44,72304.63,7,1.08,8582.07,2015-10-01
275,Employee_275,HR,Senior,23,75603.82,34,3.94,1706.01,2015-10-02
276,Employee_276,HR,Senior,62,87172.15,10,1.83,4367.58,2015-10-03
277,Employee_277,Engineering,Junior,42,65734.62,23,1.53,4640.0,2015-10-04
278,Employee_278,Sales,VP,23,70611.12,20,3.55,7890.96,2015-10-05
279,Employee_279,Engineering,Manager,48,104100.42,1,2.28,6028.93,2015-10-06
280,Employee_280,Operations,VP,30,75061.68,39,1.23,6542.2,2015-10-07
281,Employee_281,HR,Manager,22,71415.79,18,1.55,9982.0,2015-10-08
282,Employee_282,Finance,Director,32,76650.25,38,1.0,749.6,2015-10-09
283,Employee_283,Finance,VP,24,71772.71,27,4.61,2230.1,2015-10-10
284,Employee_284,Marketing,Director,44,60808.55,16,1.1,4078.96,2015-10-11
285,Employee_285,Engineering,Senior,47,55039.4,5,1.84,3477.82,2015-10-12
286,Employee_286,Engineering,Senior,25,59731.37,18,2.67,216.46,2015-10-13
287,Employee_287,Marketing,Junior,39,92458.38,37,2.43,917.78,2015-10-14
288,Employee_288,Marketing,VP,27,62401.89,27,4.65,6809.53,2015-10-15
289,Employee_289,Marketing,Director,56,71901.51,1,1.16,8793.24,2015-10-16
290,Employee_290,HR,Manager,43,89014.73,37,3.05,5142.27,2015-10-17
291,Employee_291,Operations,Senior,64,,36,3.72,5391.91,2015-10-18
292,Employee_292,Engineering,Senior,36,87667.23,3,4.73,2550.93,2015-10-19
293,Employee_293,HR,Manager,43,44184.14,21,3.48,7678.76,2015-10-20
294,Employee_294,Marketing,Director,58,72349.67,25,4.22,7517.95,2015-10-21
295,Employee_295,Engineering,Director,63,76577.92,35,1.33,5883.66,2015-10-22
296,Employee_296,HR,VP,33,75462.77,12,2.54,2126.64,2015-10-23
297,Employee_297,Operations,VP,63,41941.63,31,2.5,970.18,2015-10-24
298,Employee_298,HR,Junior,59,99062.25,16,4.55,642.39,2015-10-25
299,Employee_299,Operations,Senior,39,57906.54,35,1.61,5926.96,2015-10-26
300,Employee_300,Marketing,VP,56,,18,1.61,8250.35,2015-10-27
301,Employee_301,Operations,Director,51,75159.29,34,2.31,8583.3,2015-10-28
302,Employee_302,Engineering,Manager,45,95074.19,39,1.22,4636.22,2015-10-29
303,Employee_303,Marketing,Director,63,118749.78,27,1.73,7842.71,2015-10-30
304,Employee_304,Engineering,Senior,51,,0,4.86,9468.8,2015-10-31
305,Employee_305,Finance,Director,35,62021.72,17,2.71,2751.7,2015-11-01
306,Employee_306,Sales,Junior,27,78781.85,39,3.53,3979.6,2015-11-02
307,Employee_307,Operations,Senior,24,52892.93,32,3.9,9314.79,2015-11-03
308,Employee_308,Sales,Manager,37,90643.65,11,2.47,3382.31,2015-11-04
309,Employee_309,Sales,Junior,28,91867.45,7,1.59,9138.76,2015-11-05
310,Employee_310,Operations,Senior,35,86188.98,23,1.83,9810.45,2015-11-06
311,Employee_311,Marketing,Manager,30,79731.64,15,2.25,6618.11,2015-11-07
312,Employee_312,Finance,Junior,36,102394.18,3,,8168.9,2015-11-08
313,Employee_313,Engineering,Junior,42,51887.49,37,2.59,7495.46,2015-11-09
314,Employee_314,HR,Senior,56,76305.36,26,1.03,6995.34,2015-11-10
315,Employee_315,Engineering,VP,23,60223.94,8,3.09,3069.31,2015-11-11
316,Employee_316,HR,Junior,48,92798.33,15,4.69,570.94,2015-11-12
317,Employee_317,Engineering,Junior,23,,11,4.25,3430.52,2015-11-13
318,Employee_318,Operations,Manager,56,74438.32,30,4.3,6669.36,2015-11-14
319,Employee_319,Finance,Director,39,81704.77,23,4.18,1025.29,2015-11-15
320,Employee_320,HR,Senior,35,56050.16,13,2.29,119.18,2015-11-16
321,Employee_321,Marketing,Senior,41,62476.2,24,4.06,1396.92,2015-11-17
322,Employee_322,Engineering,VP,39,75307.58,33,1.57,7157.36,2015-11-18
323,Employee_323,Engineering,VP,31,94101.93,2,3.63,9727.94,2015-11-19
324,Employee_324,HR,Senior,46,54342.62,23,3.57,9830.65,2015-11-20
325,Employee_325,Marketing,VP,23,57831.0,8,1.1,4939.79,2015-11-21
326,Employee_326,Marketing,Manager,46,97511.76,25,4.15,8693.52,2015-11-22
327,Employee_327,Operations,Senior,54,69540.49,19,4.61,7368.26,2015-11-23
328,Employee_328,Operations,VP,57,59449.22,39,2.07,5010.4,2015-11-24
329,Employee_329,Operations,Senior,52,89573.7,9,4.25,5727.61,2015-11-25
330,Employee_330,Operations,Director,35,65236.06,18,1.33,1372.27,2015-11-26
331,Employee_331,Operations,Junior,22,95548.43,2,3.4,9376.61,2015-11-27
332,Employee_332,Operations,Senior,37,61725.59,23,2.94,3519.3,2015-11-28
333,Employee_333,Finance,Junior,24,71808.11,4,3.18,4461.49,2015-11-29
334,Employee_334,Marketing,VP,56,93899.43,2,4.7,6716.6,2015-11-30
335,Employee_335,Operations,Junior,62,,26,4.49,3339.02,2015-12-01
336,Employee_336,Marketing,Senior,27,90121.07,15,4.14,2542.59,2015-12-02
337,Employee_337,Marketing,Director,46,73689.05,14,2.09,6310.49,2015-12-03
338,Employee_338,Sales,VP,34,114633.84,34,4.65,249.84,2015-12-04
339,Employee_339,Finance,Senior,55,106375.57,11,1.39,7207.25,2015-12-05
340,Employee_340,Operations,VP,29,48438.07,25,4.41,5140.23,2015-12-06
341,Employee_341,Engineering,Manager,42,85444.87,33,2.31,6057.54,2015-12-07
342,Employee_342,HR,Junior,55,58671.92,22,1.22,6318.8,2015-12-08
343,Employee_343,Engineering,Manager,25,78830.14,30,,5270.5,2015-12-09
344,Employee_344,Finance,Senior,46,76367.41,19,1.93,5825.34,2015-12-10
345,Employee_345,HR,Director,36,53892.26,11,1.97,6837.88,2015-12-11
