date,temperature,humidity,pressure,wind_speed,precipitation,cloud_cover
2023-05-08,30.9,52.3,1012.0,11.8,3.1,2.8
2023-05-09,29.5,56.7,1024.5,8.2,2.8,40.8
2023-05-10,33.0,47.4,1008.5,7.3,1.7,58.3
2023-05-11,32.9,54.4,1009.7,4.9,0.2,70.6
2023-05-12,29.7,61.6,1001.7,11.2,0.8,81.0
2023-05-13,28.9,46.4,1007.5,13.8,0.3,61.1
2023-05-14,35.5,43.2,1004.4,12.3,0.3,11.1
2023-05-15,29.6,44.4,1010.1,10.3,0.9,68.3
2023-05-16,26.4,52.2,998.9,13.7,0.0,98.4
2023-05-17,31.2,58.7,1000.5,18.9,3.5,90.6
2023-05-18,33.1,58.1,1011.7,7.5,2.5,87.2
2023-05-19,29.6,53.5,1006.7,2.7,0.5,30.2
2023-05-20,31.6,53.3,1012.2,11.0,0.7,75.1
2023-05-21,26.7,50.9,1007.3,13.2,0.6,85.1
2023-05-22,31.5,51.9,1007.9,5.4,2.1,67.8
2023-05-23,26.6,49.4,1003.7,12.5,1.2,25.1
2023-05-24,30.1,43.6,1004.1,9.0,0.3,95.4
2023-05-25,31.3,55.8,1009.8,11.0,0.6,45.1
2023-05-26,29.1,53.5,1004.2,7.2,0.6,13.0
2023-05-27,24.9,42.6,1010.7,7.1,3.2,11.0
2023-05-28,24.8,49.4,1004.2,6.7,0.2,64.8
2023-05-29,33.0,53.2,998.7,12.0,0.1,43.8
2023-05-30,25.7,47.6,998.2,8.1,2.1,9.4
2023-05-31,30.0,44.2,1003.6,10.8,2.3,74.0
2023-06-01,27.9,52.0,1008.9,10.1,2.1,79.9
2023-06-02,24.3,45.8,1000.9,6.5,0.7,72.5
2023-06-03,25.5,41.0,1007.8,10.2,1.1,20.2
2023-06-04,31.9,38.1,1004.6,10.7,0.8,69.0
2023-06-05,37.1,28.9,1007.1,13.2,0.1,1.1
2023-06-06,25.4,53.1,1002.5,14.5,0.9,30.5
2023-06-07,25.0,38.7,1004.8,6.9,0.0,39.9
2023-06-08,21.0,47.4,1008.5,11.1,0.4,83.5
2023-06-09,20.7,37.6,1003.7,3.3,2.7,39.0
2023-06-10,22.9,42.8,1001.1,12.6,0.4,1.1
2023-06-11,23.8,43.9,994.5,13.3,2.8,35.2
2023-06-12,24.9,35.1,1006.3,2.0,0.3,49.9
2023-06-13,26.8,45.8,999.6,9.0,0.4,94.9
2023-06-14,25.1,39.7,1000.8,7.3,1.0,94.1
2023-06-15,26.3,43.2,998.0,9.0,1.4,18.1
2023-06-16,22.1,47.4,1002.2,8.4,0.7,18.5
2023-06-17,23.5,43.5,1013.8,9.9,2.1,16.3
2023-06-18,22.4,39.0,1005.0,13.0,0.0,78.9
2023-06-19,19.4,48.9,1000.0,9.1,2.6,0.6
2023-06-20,17.0,38.7,1000.9,7.0,0.2,12.7
2023-06-21,20.7,39.1,996.0,9.4,2.2,53.8
2023-06-22,15.0,37.5,997.5,9.2,0.5,24.8
2023-06-23,18.8,31.9,996.7,9.7,1.8,9.2
2023-06-24,23.6,31.1,1004.4,8.1,1.1,36.0
2023-06-25,22.2,34.8,1005.3,11.1,0.2,27.4
2023-06-26,21.5,32.2,1003.4,13.9,2.5,51.1
2023-06-27,24.7,35.6,1004.9,6.2,0.3,97.9
2023-06-28,18.7,40.9,999.2,11.4,0.3,12.4
2023-06-29,22.7,34.4,997.3,12.9,1.7,37.3
2023-06-30,18.0,37.3,997.2,8.7,0.1,93.2
2023-07-01,21.0,33.5,997.0,13.8,0.3,87.7
2023-07-02,20.3,48.5,1004.8,9.8,0.7,39.4
2023-07-03,20.2,43.0,1013.1,6.6,1.8,69.9
2023-07-04,18.2,34.0,997.8,6.2,0.2,8.8
2023-07-05,20.1,36.4,1001.3,12.4,0.8,71.3
2023-07-06,20.0,28.1,1004.0,12.1,1.2,97.3
2023-07-07,14.3,33.5,1001.6,14.7,2.0,53.7
2023-07-08,20.9,31.4,1004.7,12.0,2.7,49.8
2023-07-09,14.4,37.9,1000.2,9.7,1.5,18.7
2023-07-10,15.2,29.3,999.7,11.4,1.1,63.4
2023-07-11,18.3,42.0,1002.2,10.2,0.6,59.0
2023-07-12,19.1,33.2,1004.8,9.0,0.1,65.2
2023-07-13,17.7,29.0,1009.6,8.4,1.2,2.6
2023-07-14,17.8,33.3,1005.1,4.8,4.9,54.9
2023-07-15,13.1,36.7,1002.0,7.8,1.3,59.5
2023-07-16,14.7,35.4,1007.5,9.9,0.0,20.8
2023-07-17,9.9,33.4,1008.4,1.9,0.7,20.8
2023-07-18,13.0,36.8,1001.9,8.5,1.0,27.6
2023-07-19,11.5,36.4,1002.7,12.8,1.2,71.2
2023-07-20,15.3,36.2,1001.4,14.0,1.3,60.6
2023-07-21,22.1,30.6,1007.7,8.4,0.8,84.6
2023-07-22,17.1,30.4,1004.0,8.3,0.3,29.6
2023-07-23,7.8,30.7,996.6,7.8,2.9,91.2
2023-07-24,9.8,29.1,1005.8,8.3,1.2,74.4
2023-07-25,10.2,32.0,1011.3,13.4,0.3,39.5
2023-07-26,8.6,31.3,1011.7,14.9,0.4,9.5
2023-07-27,12.8,39.5,1001.6,4.9,2.6,25.7
2023-07-28,14.1,28.6,1000.5,7.6,2.2,95.7
2023-07-29,9.3,26.0,1013.6,4.4,0.5,31.0
2023-07-30,12.3,34.1,1012.0,9.9,0.0,33.0
2023-07-31,13.4,31.1,1006.6,8.5,0.0,19.0
2023-08-01,14.6,27.2,995.8,11.1,0.3,80.7
2023-08-02,12.7,34.5,1001.4,12.0,1.0,27.6
2023-08-03,13.0,29.1,999.1,11.7,0.9,33.0
2023-08-04,11.7,38.1,1013.7,5.1,1.0,41.4
2023-08-05,8.6,25.6,997.1,9.9,1.3,43.4
2023-08-06,9.0,27.4,1013.8,4.9,0.0,41.1
2023-08-07,7.2,30.9,1004.4,15.2,0.1,50.4
2023-08-08,15.5,37.0,999.0,8.9,0.4,81.5
2023-08-09,6.4,26.6,1010.1,5.9,0.2,81.9
2023-08-10,13.4,32.0,1008.4,8.4,0.1,79.8
2023-08-11,6.0,24.3,999.0,10.6,1.0,10.1
2023-08-12,12.5,34.6,1005.3,12.2,1.7,80.0
2023-08-13,12.9,26.8,1012.4,13.9,1.4,12.0
2023-08-14,13.2,33.1,1003.6,10.2,1.7,12.5
2023-08-15,6.5,33.4,1014.2,9.0,1.1,94.8
2023-08-16,9.9,20.9,1002.2,12.1,1.3,81.9
2023-08-17,7.4,31.0,997.9,12.0,0.3,55.2
2023-08-18,6.4,27.5,1006.4,10.4,5.0,87.5
2023-08-19,9.0,32.5,999.0,12.4,0.2,98.9
2023-08-20,11.2,25.7,1007.0,8.2,0.2,61.1
2023-08-21,6.8,27.2,1006.6,9.9,0.3,61.3
2023-08-22,9.4,36.1,1002.9,3.9,3.7,75.4
2023-08-23,5.5,35.7,1016.2,14.2,4.4,23.2
2023-08-24,4.9,25.2,1006.9,8.5,1.6,16.7
2023-08-25,6.9,39.2,1011.4,14.2,1.0,76.0
2023-08-26,7.0,17.4,1011.9,8.0,0.7,34.5
2023-08-27,9.6,31.4,1016.2,10.9,3.5,13.5
2023-08-28,3.7,24.0,1001.5,10.2,1.2,31.5
2023-08-29,13.8,32.3,998.9,8.2,2.9,35.9
2023-08-30,1.8,29.3,1016.4,11.4,0.4,96.5
2023-08-31,7.7,25.6,1010.9,13.8,0.4,69.8
2023-09-01,6.1,27.1,1008.7,15.4,1.9,53.1
2023-09-02,4.9,26.9,1007.6,12.2,0.2,96.9
2023-09-03,6.2,31.3,1006.8,6.4,2.9,90.3
2023-09-04,8.6,35.9,1012.9,5.8,0.7,51.2
2023-09-05,8.9,41.0,1001.5,13.4,2.6,90.6
2023-09-06,5.7,30.4,1011.3,7.0,0.4,40.4
2023-09-07,7.2,32.9,1014.2,11.8,1.3,23.0
2023-09-08,2.1,37.5,1012.9,10.4,0.7,23.3
2023-09-09,5.5,29.4,1009.0,14.0,1.0,66.2
2023-09-10,7.1,27.9,1009.5,11.5,0.7,50.1
2023-09-11,-1.0,41.7,1016.1,9.9,3.4,65.9
2023-09-12,6.0,31.2,1012.7,16.2,1.2,68.6
2023-09-13,5.2,33.3,1018.8,12.5,0.3,2.2
2023-09-14,9.4,24.4,1001.4,11.7,2.4,5.4
2023-09-15,6.0,30.0,1014.9,8.0,0.3,53.3
2023-09-16,6.9,42.2,1006.4,6.6,0.5,19.1
2023-09-17,4.6,35.2,1010.3,9.2,0.1,63.3
2023-09-18,7.3,33.0,1017.7,5.5,2.3,55.2
2023-09-19,7.0,40.3,1006.0,9.0,0.3,58.6
2023-09-20,1.3,25.3,1021.7,12.4,0.3,30.2
2023-09-21,6.1,31.6,1016.9,12.9,2.5,64.0
2023-09-22,8.7,45.3,1014.4,9.0,1.6,82.9
2023-09-23,8.1,33.9,1007.0,18.8,0.2,99.8
2023-09-24,5.2,34.0,1010.9,13.8,1.5,83.8
2023-09-25,6.0,40.4,1010.2,9.9,2.4,55.7
2023-09-26,7.8,41.0,1006.0,13.4,0.1,19.3
2023-09-27,1.6,28.5,1017.8,8.3,1.7,68.1
2023-09-28,6.4,37.3,1010.5,10.8,0.8,93.8
2023-09-29,-0.9,44.2,1011.8,8.9,1.1,21.2
2023-09-30,7.6,32.5,1012.2,6.4,0.7,25.6
2023-10-01,3.8,34.1,1012.0,11.6,1.2,14.9
2023-10-02,4.7,36.3,1015.9,10.0,0.0,73.7
2023-10-03,3.3,39.9,1010.3,10.2,1.4,40.7
2023-10-04,4.9,29.5,1018.7,9.9,0.0,6.3
2023-10-05,5.8,21.4,1010.8,7.3,0.6,87.5
2023-10-06,7.3,38.3,1013.8,14.8,0.2,55.8
2023-10-07,9.0,43.3,1007.5,10.7,1.7,33.1
2023-10-08,5.3,36.2,1019.6,9.2,0.4,34.4
2023-10-09,0.2,34.9,1021.0,6.1,0.6,29.0
2023-10-10,9.1,37.4,1018.2,14.2,0.6,45.5
2023-10-11,0.8,46.5,1015.6,12.8,1.5,33.7
2023-10-12,4.0,35.5,1014.7,10.0,0.7,54.8
2023-10-13,3.9,42.0,1007.3,6.1,1.6,77.4
2023-10-14,5.4,33.7,1008.5,15.0,0.1,67.4
2023-10-15,1.7,34.2,1019.2,8.9,0.2,29.4
2023-10-16,1.6,44.2,1014.7,8.0,0.8,52.9
2023-10-17,5.5,48.5,1009.0,9.9,2.9,84.0
2023-10-18,3.3,45.1,1008.9,11.1,0.1,6.8
2023-10-19,9.8,30.7,1019.3,9.5,0.0,7.8
2023-10-20,4.2,39.1,1020.6,0.2,0.2,55.6
2023-10-21,2.8,42.7,1008.7,10.7,1.0,63.9
2023-10-22,11.0,42.2,1017.3,12.8,0.5,21.1
2023-10-23,7.5,32.6,1018.7,7.3,1.7,74.5
2023-10-24,14.3,36.0,1014.0,14.7,0.1,64.6
2023-10-25,0.5,38.8,1023.3,12.6,0.2,92.3
2023-10-26,7.0,42.8,1015.5,11.4,0.4,16.9
2023-10-27,8.0,33.8,1008.8,7.0,1.0,75.1
2023-10-28,6.7,46.8,1016.5,10.8,1.2,8.4
2023-10-29,5.7,43.6,1024.5,11.1,0.1,56.5
2023-10-30,10.6,39.2,1016.1,9.8,2.9,55.2
2023-10-31,8.4,45.7,1012.7,12.7,0.4,38.8
2023-11-01,2.1,37.9,1021.3,8.9,1.2,84.5
2023-11-02,4.6,45.2,1019.6,9.2,0.7,0.4
2023-11-03,3.9,36.8,1018.4,8.0,0.3,52.0
2023-11-04,7.2,37.8,1020.9,8.6,1.9,21.7
2023-11-05,10.5,44.2,1015.2,9.6,1.7,74.3
2023-11-06,6.7,43.2,1015.8,9.4,0.5,4.3
2023-11-07,7.2,49.0,1022.6,9.3,0.9,83.2
2023-11-08,5.2,47.4,1014.3,12.8,0.3,83.8
2023-11-09,10.6,58.3,1027.3,14.5,1.2,83.3
2023-11-10,12.2,46.8,1025.5,6.2,0.4,15.3
2023-11-11,8.5,32.0,1013.8,14.4,1.9,63.0
2023-11-12,13.5,38.7,1027.0,12.0,0.2,1.4
2023-11-13,7.3,43.2,1020.5,7.3,0.0,84.8
2023-11-14,5.0,66.4,1026.8,9.0,0.3,72.3
2023-11-15,11.7,49.7,1020.7,10.9,0.2,53.1
2023-11-16,9.2,55.8,1019.3,5.0,0.7,73.1
2023-11-17,8.0,55.6,1018.9,9.7,0.2,9.4
2023-11-18,10.1,44.6,1008.1,11.6,1.4,52.9
2023-11-19,5.3,42.3,1025.1,7.8,0.3,29.1
2023-11-20,5.0,54.8,1017.1,5.6,1.2,97.3
2023-11-21,10.7,40.8,1025.5,10.6,0.9,85.7
2023-11-22,12.0,57.2,1029.2,16.6,4.3,73.3
2023-11-23,15.1,52.0,1018.0,7.9,9.2,93.4
2023-11-24,13.7,56.0,1017.9,7.9,2.0,34.7
2023-11-25,13.2,54.8,1026.2,9.4,1.4,90.1
2023-11-26,15.3,55.4,1018.9,14.7,0.5,32.5
2023-11-27,13.2,54.5,1027.9,5.0,1.4,73.3
2023-11-28,10.9,55.7,1018.0,12.3,3.1,73.6
2023-11-29,14.9,54.9,1028.7,8.6,0.0,1.8
2023-11-30,15.0,48.1,1020.1,8.8,0.8,36.1
2023-12-01,12.6,53.3,1023.3,7.0,0.2,1.9
2023-12-02,9.2,66.5,1026.7,9.3,0.8,99.7
2023-12-03,7.7,57.5,1024.4,7.1,0.6,12.2
2023-12-04,15.8,62.0,1027.3,8.4,0.9,54.3
2023-12-05,14.9,51.7,1014.7,2.6,0.8,79.1
2023-12-06,15.6,51.9,1020.1,4.8,3.2,20.1
2023-12-07,16.6,51.3,1022.5,11.0,0.8,48.5
2023-12-08,11.5,50.9,1018.4,13.8,1.9,60.7
2023-12-09,8.8,49.8,1027.1,19.7,0.4,16.0
2023-12-10,16.2,59.4,1019.8,12.8,0.6,77.9
2023-12-11,18.5,56.8,1018.6,8.5,0.6,29.9
2023-12-12,16.2,63.2,1027.2,4.0,0.3,21.1
2023-12-13,11.0,57.6,1017.3,11.6,0.5,55.8
2023-12-14,16.4,47.4,1017.6,5.6,0.9,41.0
2023-12-15,12.5,62.0,1025.2,7.6,0.9,92.0
2023-12-16,11.5,49.9,1029.4,12.7,1.0,88.0
2023-12-17,16.4,61.4,1023.5,10.9,0.4,48.3
2023-12-18,17.2,56.8,1014.7,7.2,0.4,35.9
2023-12-19,16.6,62.1,1026.2,4.9,0.9,32.6
2023-12-20,18.5,54.0,1019.9,10.6,0.1,26.8
2023-12-21,15.1,65.4,1028.5,11.0,0.3,54.5
2023-12-22,17.9,62.0,1021.0,14.5,0.0,80.5
2023-12-23,16.5,60.3,1028.6,2.5,0.1,31.1
2023-12-24,17.4,53.9,1020.8,10.4,0.3,19.0
2023-12-25,19.3,71.7,1019.5,12.8,0.0,47.5
2023-12-26,21.9,58.3,1013.4,8.7,0.3,6.9
2023-12-27,19.8,64.5,1019.7,5.2,1.1,70.1
2023-12-28,21.1,58.6,1023.9,7.2,0.1,51.8
2023-12-29,19.5,82.5,1023.5,10.1,0.6,49.6
2023-12-30,21.2,64.6,1026.1,8.5,2.4,30.0
2023-12-31,23.1,61.1,1029.2,10.9,1.6,90.5
