sale_id,employee_id,product,region,quantity,unit_price,total_amount,sale_date,customer_rating,discount_percent
39,70,Mouse,North,7,1121.09,6998.52,2023-01-02 14:00:00,3,10.82
41,962,Keyboard,North,4,681.51,2552.66,2023-01-02 16:00:00,1,6.36
42,365,Monitor,South,2,478.87,837.06,2023-01-02 17:00:00,2,12.6
43,701,Laptop,South,9,1943.88,13941.7,2023-01-02 18:00:00,5,20.31
44,845,Monitor,West,5,1468.12,5975.98,2023-01-02 19:00:00,1,18.59
45,947,Monitor,North,3,731.82,1871.19,2023-01-02 20:00:00,5,14.77
46,306,Keyboard,West,4,231.05,799.53,2023-01-02 21:00:00,1,13.49
47,124,Headphones,East,6,1057.76,5668.75,2023-01-02 22:00:00,1,10.68
48,19,Keyboard,South,1,466.22,352.84,2023-01-02 23:00:00,1,24.32
49,257,Laptop,Central,7,1096.04,6598.16,2023-01-03 00:00:00,5,14.0
50,296,Phone,Central,8,1678.96,12578.77,2023-01-03 01:00:00,4,6.35
51,928,Keyboard,North,7,1250.8,8252.15,2023-01-03 02:00:00,1,5.75
52,22,Mouse,North,7,1285.89,7625.84,2023-01-03 03:00:00,3,15.28
53,880,Monitor,Central,9,1105.01,8645.27,2023-01-03 04:00:00,2,13.07
54,989,Headphones,North,4,1858.17,7418.56,2023-01-03 05:00:00,4,0.19
55,450,Tablet,South,7,1867.21,10358.35,2023-01-03 06:00:00,4,20.75
56,552,Laptop,East,9,1049.81,7785.39,2023-01-03 07:00:00,5,17.6
57,550,Tablet,East,5,646.23,2696.39,2023-01-03 08:00:00,4,16.55
58,48,Monitor,West,2,946.19,1859.83,2023-01-03 09:00:00,5,1.72
59,695,Keyboard,South,5,413.79,1881.71,2023-01-03 10:00:00,5,9.05
60,587,Tablet,North,4,1290.87,3956.26,2023-01-03 11:00:00,3,23.38
61,721,Mouse,North,8,1025.18,6433.21,2023-01-03 12:00:00,1,21.56
62,183,Keyboard,West,5,251.44,1167.44,2023-01-03 13:00:00,4,7.14
63,435,Monitor,West,9,435.41,3764.69,2023-01-03 14:00:00,1,3.93
64,107,Tablet,North,9,985.28,7871.7,2023-01-03 15:00:00,1,11.23
65,188,Phone,North,3,1780.8,4866.93,2023-01-03 16:00:00,1,8.9
66,776,Laptop,South,6,1154.46,5745.05,2023-01-03 17:00:00,5,17.06
67,86,Tablet,West,6,1378.99,6274.96,2023-01-03 18:00:00,1,24.16
68,836,Phone,South,4,711.11,2586.16,2023-01-03 19:00:00,4,9.08
69,843,Phone,North,3,1164.25,3438.26,2023-01-03 20:00:00,5,1.56
70,456,Tablet,Central,1,922.39,715.41,2023-01-03 21:00:00,4,22.44
71,137,Headphones,Central,7,1335.3,9258.3,2023-01-03 22:00:00,5,0.95
72,858,Tablet,North,5,148.62,566.09,2023-01-03 23:00:00,2,23.82
73,898,Monitor,West,7,1011.94,5907.0,2023-01-04 00:00:00,2,16.61
74,336,Phone,Central,1,627.19,479.55,2023-01-04 01:00:00,2,23.54
75,607,Laptop,West,8,686.06,5214.6,2023-01-04 02:00:00,2,4.99
76,838,Monitor,Central,3,1923.79,5712.5,2023-01-04 03:00:00,5,1.02
77,757,Mouse,West,7,406.25,2496.53,2023-01-04 04:00:00,1,12.21
78,469,Keyboard,Central,3,656.93,1748.68,2023-01-04 05:00:00,3,11.27
79,602,Tablet,West,3,1044.29,2873.16,2023-01-04 06:00:00,3,8.29
80,571,Headphones,South,9,1732.9,11862.39,2023-01-04 07:00:00,2,23.94
81,403,Laptop,West,2,862.51,1370.36,2023-01-04 08:00:00,1,20.56
82,540,Headphones,South,4,1500.54,5009.4,2023-01-04 09:00:00,4,16.54
83,72,Headphones,South,6,1719.93,9899.57,2023-01-04 10:00:00,1,4.07
84,782,Headphones,North,3,654.53,1603.07,2023-01-04 11:00:00,4,18.36
85,24,Tablet,South,7,815.86,4672.76,2023-01-04 12:00:00,3,18.18
86,624,Laptop,East,7,745.28,4662.4,2023-01-04 13:00:00,1,10.63
87,812,Laptop,South,5,1674.07,6435.13,2023-01-04 14:00:00,1,23.12
88,485,Phone,West,3,136.48,392.37,2023-01-04 15:00:00,3,4.17
89,56,Headphones,South,2,651.42,1215.81,2023-01-04 16:00:00,1,6.68
90,986,Phone,West,4,1374.85,5412.51,2023-01-04 17:00:00,4,1.58
91,223,Phone,West,4,1152.61,3693.42,2023-01-04 18:00:00,1,19.89
92,632,Keyboard,East,8,900.76,6086.26,2023-01-04 19:00:00,4,15.54
93,179,Tablet,South,8,1102.9,8128.81,2023-01-04 20:00:00,2,7.87
94,800,Tablet,South,5,435.29,2087.22,2023-01-04 21:00:00,1,4.1
95,434,Monitor,Central,6,889.9,5286.01,2023-01-04 22:00:00,4,1.0
96,937,Phone,Central,8,1028.32,7883.51,2023-01-04 23:00:00,3,4.17
97,450,Tablet,North,1,1807.32,1602.55,2023-01-05 00:00:00,2,11.33
98,793,Headphones,West,5,558.63,2620.53,2023-01-05 01:00:00,1,6.18
99,884,Mouse,East,4,1742.27,6518.18,2023-01-05 02:00:00,4,6.47
100,492,Headphones,Central,4,1306.27,4081.31,2023-01-05 03:00:00,1,21.89
101,189,Laptop,South,2,89.66,156.22,2023-01-05 04:00:00,4,12.88
102,578,Tablet,North,1,1463.03,1196.32,2023-01-05 05:00:00,1,18.23
103,810,Tablet,East,6,119.33,709.61,2023-01-05 06:00:00,2,0.89
104,961,Monitor,South,7,1994.89,12689.3,2023-01-05 07:00:00,2,9.13
105,420,Phone,South,5,1751.64,7708.97,2023-01-05 08:00:00,1,11.98
106,249,Mouse,West,8,629.82,4803.76,2023-01-05 09:00:00,1,4.66
107,588,Tablet,West,9,551.95,4818.52,2023-01-05 10:00:00,5,3.0
108,649,Monitor,Central,2,793.81,1242.15,2023-01-05 11:00:00,1,21.76
109,164,Monitor,Central,4,744.53,2278.56,2023-01-05 12:00:00,1,23.49
110,745,Mouse,South,9,776.06,6846.94,2023-01-05 13:00:00,2,1.97
111,255,Headphones,South,5,670.64,3060.47,2023-01-05 14:00:00,1,8.73
112,476,Headphones,Central,3,1261.21,2877.07,2023-01-05 15:00:00,3,23.96
113,806,Headphones,Central,6,370.31,2175.65,2023-01-05 16:00:00,1,2.08
114,417,Keyboard,South,3,1699.66,4278.55,2023-01-05 17:00:00,5,16.09
115,170,Phone,East,5,1634.18,6184.55,2023-01-05 18:00:00,4,24.31
116,317,Phone,South,3,979.14,2218.93,2023-01-05 19:00:00,2,24.46
117,174,Headphones,East,6,1712.82,9066.3,2023-01-05 20:00:00,3,11.78
118,470,Mouse,East,5,531.93,2551.4,2023-01-05 21:00:00,4,4.07
119,345,Keyboard,South,9,84.25,719.96,2023-01-05 22:00:00,3,5.05
120,445,Phone,North,3,1257.46,2933.4,2023-01-05 23:00:00,2,22.24
121,18,Headphones,Central,6,942.92,4368.17,2023-01-06 00:00:00,5,22.79
122,70,Keyboard,West,8,1155.97,7842.1,2023-01-06 01:00:00,2,15.2
123,338,Mouse,South,7,1803.71,10208.1,2023-01-06 02:00:00,3,19.15
124,628,Headphones,East,6,1941.35,9493.2,2023-01-06 03:00:00,3,18.5
125,592,Laptop,South,2,1287.18,2148.3,2023-01-06 04:00:00,2,16.55
126,527,Tablet,Central,7,1539.91,8550.2,2023-01-06 05:00:00,1,20.68
127,688,Mouse,East,8,213.43,1414.78,2023-01-06 06:00:00,2,17.14
128,456,Monitor,West,1,363.4,314.89,2023-01-06 07:00:00,5,13.35
129,269,Monitor,West,9,1479.75,12529.34,2023-01-06 08:00:00,2,5.92
130,631,Mouse,West,4,891.16,2901.62,2023-01-06 09:00:00,4,18.6
131,811,Monitor,North,8,919.63,6485.97,2023-01-06 10:00:00,1,11.84
132,188,Phone,East,7,651.78,4226.21,2023-01-06 11:00:00,4,7.37
133,569,Mouse,East,7,1234.34,6907.98,2023-01-06 12:00:00,2,20.05
134,711,Laptop,North,2,411.07,678.92,2023-01-06 13:00:00,1,17.42
135,529,Mouse,East,1,1272.49,974.35,2023-01-06 14:00:00,4,23.43
136,434,Headphones,North,4,388.91,1491.24,2023-01-06 15:00:00,4,4.14
137,288,Headphones,South,2,174.46,292.29,2023-01-06 16:00:00,1,16.23
138,918,Keyboard,Central,8,694.2,5214.28,2023-01-06 17:00:00,1,6.11
139,567,Monitor,West,7,500.72,2713.25,2023-01-06 18:00:00,3,22.59
140,499,Tablet,North,8,1783.53,13912.96,2023-01-06 19:00:00,1,2.49
141,441,Monitor,North,6,157.16,788.31,2023-01-06 20:00:00,2,16.4
142,781,Phone,North,1,394.4,316.39,2023-01-06 21:00:00,5,19.78
143,303,Mouse,South,9,1120.0,9185.9,2023-01-06 22:00:00,3,8.87
144,87,Tablet,North,6,988.08,4514.54,2023-01-06 23:00:00,1,23.85
145,830,Tablet,Central,1,139.41,109.76,2023-01-07 00:00:00,5,21.27
147,541,Tablet,West,8,1976.73,15783.79,2023-01-07 02:00:00,2,0.19
148,22,Tablet,South,6,1334.73,7414.16,2023-01-07 03:00:00,5,7.42
149,833,Headphones,Central,8,762.54,5671.47,2023-01-07 04:00:00,1,7.03
150,797,Laptop,East,8,967.34,6016.85,2023-01-07 05:00:00,1,22.25
151,560,Mouse,East,8,569.77,3456.0,2023-01-07 06:00:00,2,24.18
152,517,Monitor,East,7,722.5,4968.49,2023-01-07 07:00:00,3,1.76
153,762,Headphones,North,7,1315.64,8124.6,2023-01-07 08:00:00,5,11.78
154,675,Phone,North,4,1771.48,6114.44,2023-01-07 09:00:00,2,13.71
155,503,Phone,East,9,409.05,3596.04,2023-01-07 10:00:00,3,2.32
156,714,Keyboard,West,2,1688.7,3058.57,2023-01-07 11:00:00,4,9.44
157,467,Tablet,West,9,287.04,2378.5,2023-01-07 12:00:00,4,7.93
158,101,Tablet,North,3,469.23,1219.06,2023-01-07 13:00:00,3,13.4
159,583,Monitor,East,2,122.49,204.48,2023-01-07 14:00:00,1,16.53
160,942,Laptop,West,4,324.58,1069.95,2023-01-07 15:00:00,1,17.59
161,675,Laptop,North,5,1838.74,8879.28,2023-01-07 16:00:00,4,3.42
162,685,Monitor,East,2,945.91,1507.4,2023-01-07 17:00:00,1,20.32
163,141,Monitor,South,1,201.45,167.28,2023-01-07 18:00:00,1,16.96
164,138,Headphones,East,5,1921.47,7471.64,2023-01-07 19:00:00,3,22.23
165,578,Phone,East,9,1764.04,14093.44,2023-01-07 20:00:00,3,11.23
166,710,Monitor,Central,5,1521.63,5907.73,2023-01-07 21:00:00,1,22.35
167,840,Phone,Central,9,1870.27,13189.89,2023-01-07 22:00:00,3,21.64
168,228,Keyboard,South,6,479.25,2560.35,2023-01-07 23:00:00,5,10.96
169,281,Phone,South,3,1680.92,4562.18,2023-01-08 00:00:00,4,9.53
170,684,Headphones,East,4,1395.48,4280.22,2023-01-08 01:00:00,5,23.32
171,828,Tablet,West,4,1746.03,5735.36,2023-01-08 02:00:00,5,17.88
172,431,Tablet,South,1,1603.98,1231.7,2023-01-08 03:00:00,1,23.21
173,40,Phone,East,3,725.67,1743.35,2023-01-08 04:00:00,1,19.92
174,519,Tablet,North,3,1560.08,3967.44,2023-01-08 05:00:00,5,15.23
175,686,Tablet,Central,1,561.79,545.5,2023-01-08 06:00:00,5,2.9
176,663,Mouse,West,9,690.75,5763.55,2023-01-08 07:00:00,2,7.29
177,211,Keyboard,East,1,260.42,197.35,2023-01-08 08:00:00,2,24.22
178,302,Headphones,North,9,1873.4,15513.44,2023-01-08 09:00:00,4,7.99
179,86,Headphones,Central,1,617.46,603.07,2023-01-08 10:00:00,5,2.33
180,397,Tablet,North,2,1065.21,1753.55,2023-01-08 11:00:00,3,17.69
181,253,Laptop,East,2,813.1,1327.79,2023-01-08 12:00:00,2,18.35
182,533,Headphones,South,6,1921.86,10707.84,2023-01-08 13:00:00,1,7.14
183,769,Keyboard,Central,7,703.35,4557.15,2023-01-08 14:00:00,5,7.44
184,891,Monitor,North,1,1568.16,1384.37,2023-01-08 15:00:00,3,11.72
185,915,Keyboard,South,3,1718.06,5126.35,2023-01-08 16:00:00,3,0.54
186,381,Tablet,West,2,899.43,1443.94,2023-01-08 17:00:00,3,19.73
187,444,Tablet,East,8,787.44,5799.97,2023-01-08 18:00:00,1,7.93
188,33,Mouse,East,9,1508.1,10676.44,2023-01-08 19:00:00,2,21.34
189,260,Phone,Central,2,1830.15,2925.68,2023-01-08 20:00:00,3,20.07
190,234,Headphones,North,2,1522.12,2540.72,2023-01-08 21:00:00,2,16.54
191,515,Phone,West,9,492.9,4075.89,2023-01-08 22:00:00,4,8.12
192,859,Phone,Central,4,1782.2,6208.47,2023-01-08 23:00:00,1,12.91
193,308,Headphones,Central,5,805.78,3580.89,2023-01-09 00:00:00,2,11.12
194,739,Headphones,North,9,1173.65,9668.18,2023-01-09 01:00:00,2,8.47
195,796,Tablet,West,6,1671.3,7901.91,2023-01-09 02:00:00,3,21.2
196,70,Headphones,North,9,417.37,3302.19,2023-01-09 03:00:00,3,12.09
197,454,Laptop,East,9,1579.79,11257.9,2023-01-09 04:00:00,1,20.82
198,439,Laptop,South,7,1212.52,8264.42,2023-01-09 05:00:00,2,2.63
199,825,Monitor,East,9,1792.02,15558.86,2023-01-09 06:00:00,5,3.53
200,364,Headphones,East,5,385.34,1456.01,2023-01-09 07:00:00,3,24.43
201,983,Mouse,Central,5,870.33,3712.39,2023-01-09 08:00:00,3,14.69
202,766,Monitor,East,8,1674.04,11686.14,2023-01-09 09:00:00,4,12.74
203,481,Tablet,West,4,87.5,304.22,2023-01-09 10:00:00,1,13.08
204,144,Headphones,East,9,268.79,2288.96,2023-01-09 11:00:00,2,5.38
205,24,Laptop,West,7,1981.6,11378.55,2023-01-09 12:00:00,2,17.97
206,965,Mouse,North,7,596.77,4088.83,2023-01-09 13:00:00,2,2.12
207,425,Monitor,Central,3,1952.31,5017.63,2023-01-09 14:00:00,3,14.33
208,746,Mouse,West,4,405.94,1392.05,2023-01-09 15:00:00,1,14.27
209,845,Headphones,East,7,754.13,4072.68,2023-01-09 16:00:00,2,22.85
210,175,Keyboard,Central,5,1518.1,6592.35,2023-01-09 17:00:00,5,13.15
211,844,Mouse,Central,3,1332.67,3860.88,2023-01-09 18:00:00,4,3.43
212,325,Mouse,West,1,1183.19,1013.76,2023-01-09 19:00:00,4,14.32
213,869,Tablet,West,7,1083.3,7410.21,2023-01-09 20:00:00,2,2.28
214,671,Laptop,South,6,1694.71,9650.7,2023-01-09 21:00:00,3,5.09
215,860,Headphones,South,7,508.15,3529.31,2023-01-09 22:00:00,4,0.78
216,348,Mouse,Central,2,912.82,1591.41,2023-01-09 23:00:00,4,12.83
217,798,Headphones,South,4,353.13,1382.72,2023-01-10 00:00:00,4,2.11
218,18,Laptop,East,2,1212.09,2139.82,2023-01-10 01:00:00,4,11.73
219,44,Tablet,North,8,538.56,3303.74,2023-01-10 02:00:00,2,23.32
220,155,Headphones,Central,7,700.99,4024.17,2023-01-10 03:00:00,1,17.99
221,867,Phone,North,1,968.94,950.14,2023-01-10 04:00:00,1,1.94
222,922,Laptop,South,2,102.2,192.93,2023-01-10 05:00:00,3,5.61
223,377,Laptop,West,2,229.28,381.34,2023-01-10 06:00:00,5,16.84
224,743,Monitor,Central,4,1387.56,4308.65,2023-01-10 07:00:00,1,22.37
225,883,Tablet,South,3,886.49,2637.66,2023-01-10 08:00:00,5,0.82
226,828,Tablet,East,1,1736.34,1383.69,2023-01-10 09:00:00,1,20.31
227,402,Phone,Central,2,1404.61,2414.52,2023-01-10 10:00:00,1,14.05
228,225,Headphones,Central,9,65.8,511.36,2023-01-10 11:00:00,3,13.65
229,217,Keyboard,West,1,1252.59,952.59,2023-01-10 12:00:00,4,23.95
230,568,Phone,Central,9,232.76,1703.31,2023-01-10 13:00:00,3,18.69
231,31,Monitor,West,7,1572.82,8670.17,2023-01-10 14:00:00,1,21.25
232,869,Tablet,South,2,1983.44,3615.81,2023-01-10 15:00:00,4,8.85
233,59,Laptop,East,2,1085.84,1870.69,2023-01-10 16:00:00,4,13.86
234,892,Tablet,East,5,1381.42,5844.1,2023-01-10 17:00:00,4,15.39
235,898,Phone,Central,5,512.76,2357.67,2023-01-10 18:00:00,5,8.04
236,353,Keyboard,Central,4,903.32,3098.03,2023-01-10 19:00:00,1,14.26
237,935,Mouse,South,3,1719.39,4852.81,2023-01-10 20:00:00,2,5.92
238,445,Mouse,West,4,376.47,1451.97,2023-01-10 21:00:00,3,3.58
239,235,Tablet,East,4,567.79,2058.81,2023-01-10 22:00:00,5,9.35
240,107,Tablet,West,2,918.6,1497.69,2023-01-10 23:00:00,3,18.48
241,191,Monitor,South,5,1438.89,5546.92,2023-01-11 00:00:00,2,22.9
242,992,Tablet,East,5,782.97,3466.99,2023-01-11 01:00:00,4,11.44
243,530,Keyboard,East,5,1859.08,7801.63,2023-01-11 02:00:00,2,16.07
244,913,Tablet,North,1,234.19,228.15,2023-01-11 03:00:00,3,2.58
245,738,Headphones,South,6,773.07,3589.67,2023-01-11 04:00:00,2,22.61
246,679,Phone,South,2,1432.46,2457.53,2023-01-11 05:00:00,1,14.22
247,583,Keyboard,North,7,490.67,2764.58,2023-01-11 06:00:00,2,19.51
248,874,Monitor,West,4,1330.01,4263.48,2023-01-11 07:00:00,1,19.86
249,566,Headphones,North,5,370.22,1732.44,2023-01-11 08:00:00,2,6.41
250,245,Headphones,South,5,159.16,690.52,2023-01-11 09:00:00,1,13.23
251,995,Phone,West,5,285.98,1086.58,2023-01-11 10:00:00,1,24.01
252,862,Mouse,East,2,1863.47,3643.46,2023-01-11 11:00:00,2,2.24
253,76,Keyboard,North,5,1125.91,4668.02,2023-01-11 12:00:00,5,17.08
254,547,Phone,West,3,1602.87,3651.66,2023-01-11 13:00:00,4,24.06
255,267,Headphones,West,4,698.68,2584.84,2023-01-11 14:00:00,4,7.51
256,317,Monitor,West,2,1205.68,1891.95,2023-01-11 15:00:00,4,21.54
257,812,Phone,North,4,1015.16,3112.89,2023-01-11 16:00:00,1,23.34
258,121,Mouse,East,9,1894.19,13863.2,2023-01-11 17:00:00,4,18.68
259,836,Headphones,West,8,1507.77,11364.97,2023-01-11 18:00:00,1,5.78
260,25,Phone,North,3,1474.56,4054.3,2023-01-11 19:00:00,5,8.35
261,432,Keyboard,South,1,140.39,139.13,2023-01-11 20:00:00,2,0.9
262,160,Mouse,North,1,1121.86,888.63,2023-01-11 21:00:00,2,20.79
263,596,Keyboard,North,6,960.63,4539.55,2023-01-11 22:00:00,1,21.24
264,114,Keyboard,North,3,1859.29,4695.45,2023-01-11 23:00:00,1,15.82
265,735,Keyboard,West,4,551.82,2012.82,2023-01-12 00:00:00,5,8.81
266,900,Phone,North,1,576.18,565.12,2023-01-12 01:00:00,4,1.92
267,502,Mouse,South,8,852.13,5533.39,2023-01-12 02:00:00,5,18.83
268,166,Phone,West,1,524.57,429.31,2023-01-12 03:00:00,2,18.16
269,703,Phone,South,5,301.91,1165.07,2023-01-12 04:00:00,2,22.82
270,175,Phone,Central,6,1721.96,8445.18,2023-01-12 05:00:00,4,18.26
271,1,Headphones,North,2,1138.64,1805.43,2023-01-12 06:00:00,2,20.72
272,899,Tablet,West,7,1729.66,9849.55,2023-01-12 07:00:00,1,18.65
273,741,Laptop,West,7,1670.71,9850.67,2023-01-12 08:00:00,2,15.77
274,86,Headphones,North,1,599.98,535.96,2023-01-12 09:00:00,3,10.67
275,574,Mouse,East,4,1118.09,3463.84,2023-01-12 10:00:00,4,22.55
276,320,Laptop,East,4,212.27,710.93,2023-01-12 11:00:00,4,16.27
277,401,Laptop,South,5,1834.74,8260.0,2023-01-12 12:00:00,4,9.96
278,382,Laptop,North,1,838.31,820.79,2023-01-12 13:00:00,3,2.09
279,718,Tablet,North,1,817.67,758.23,2023-01-12 14:00:00,5,7.27
280,617,Phone,Central,7,640.37,3873.41,2023-01-12 15:00:00,1,13.59
281,318,Monitor,East,9,948.29,7946.58,2023-01-12 16:00:00,4,6.89
282,803,Mouse,East,1,540.93,511.02,2023-01-12 17:00:00,2,5.53
283,250,Tablet,North,2,780.96,1356.06,2023-01-12 18:00:00,1,13.18
284,525,Tablet,South,6,1609.9,9248.88,2023-01-12 19:00:00,2,4.25
285,675,Monitor,North,6,1676.8,8047.63,2023-01-12 20:00:00,1,20.01
286,555,Laptop,South,2,643.16,1130.55,2023-01-12 21:00:00,1,12.11
287,898,Phone,East,9,964.58,7435.46,2023-01-12 22:00:00,2,14.35
288,952,Monitor,Central,4,1753.95,6757.62,2023-01-12 23:00:00,2,3.68
289,623,Monitor,West,7,152.71,982.28,2023-01-13 00:00:00,1,8.11
290,717,Tablet,East,6,1783.83,9605.92,2023-01-13 01:00:00,4,10.25
291,896,Mouse,South,3,477.41,1142.78,2023-01-13 02:00:00,2,20.21
292,256,Keyboard,North,8,1373.15,8870.55,2023-01-13 03:00:00,3,19.25
293,307,Phone,East,7,1185.98,7839.45,2023-01-13 04:00:00,3,5.57
294,950,Monitor,Central,9,1128.23,8590.34,2023-01-13 05:00:00,1,15.4
295,144,Phone,South,3,1725.75,4861.96,2023-01-13 06:00:00,5,6.09
296,658,Monitor,North,1,248.07,186.77,2023-01-13 07:00:00,1,24.71
297,391,Laptop,West,2,726.7,1107.49,2023-01-13 08:00:00,1,23.8
298,813,Phone,South,1,1099.59,944.77,2023-01-13 09:00:00,4,14.08
299,676,Laptop,North,5,1632.01,6734.49,2023-01-13 10:00:00,4,17.47
300,169,Tablet,West,2,472.06,754.92,2023-01-13 11:00:00,5,20.04
301,990,Laptop,North,3,1615.71,3973.68,2023-01-13 12:00:00,5,18.02
302,298,Phone,West,8,829.3,5473.38,2023-01-13 13:00:00,5,17.5
303,233,Headphones,West,5,418.38,1590.68,2023-01-13 14:00:00,5,23.96
304,903,Phone,West,4,1530.02,5207.58,2023-01-13 15:00:00,5,14.91
305,271,Monitor,North,5,227.25,955.47,2023-01-13 16:00:00,1,15.91
306,60,Laptop,West,6,1053.8,4980.47,2023-01-13 17:00:00,1,21.23
307,296,Mouse,South,7,174.56,1017.25,2023-01-13 18:00:00,3,16.75
308,467,Headphones,Central,9,745.01,5476.72,2023-01-13 19:00:00,3,18.32
309,235,Tablet,Central,1,1222.1,1150.61,2023-01-13 20:00:00,2,5.85
310,677,Keyboard,West,4,1134.43,4116.62,2023-01-13 21:00:00,1,9.28
311,706,Monitor,Central,9,839.08,7273.82,2023-01-13 22:00:00,5,3.68
312,234,Monitor,Central,5,886.64,3872.84,2023-01-13 23:00:00,2,12.64
313,368,Mouse,West,8,492.2,3489.11,2023-01-14 00:00:00,4,11.39
314,695,Keyboard,West,1,938.97,704.88,2023-01-14 01:00:00,1,24.93
315,845,Keyboard,South,4,1908.85,6468.71,2023-01-14 02:00:00,3,15.28
316,232,Tablet,East,9,1708.38,12352.61,2023-01-14 03:00:00,1,19.66
317,873,Tablet,North,1,333.2,305.38,2023-01-14 04:00:00,1,8.35
319,619,Monitor,West,4,1870.37,6330.83,2023-01-14 06:00:00,1,15.38
320,503,Laptop,Central,3,1077.16,2668.56,2023-01-14 07:00:00,4,17.42
321,890,Tablet,South,7,1098.78,7125.37,2023-01-14 08:00:00,3,7.36
322,735,Mouse,Central,3,1572.4,4070.0,2023-01-14 09:00:00,1,13.72
323,592,Mouse,West,1,663.64,558.45,2023-01-14 10:00:00,4,15.85
324,746,Mouse,West,2,989.72,1687.87,2023-01-14 11:00:00,2,14.73
325,381,Phone,Central,4,1938.89,5981.09,2023-01-14 12:00:00,1,22.88
326,696,Tablet,West,1,1360.69,1055.08,2023-01-14 13:00:00,4,22.46
327,428,Tablet,East,1,349.8,264.9,2023-01-14 14:00:00,5,24.27
328,697,Mouse,North,8,309.79,2064.69,2023-01-14 15:00:00,2,16.69
329,646,Tablet,North,7,448.32,2375.65,2023-01-14 16:00:00,3,24.3
330,732,Phone,North,8,1545.09,9788.45,2023-01-14 17:00:00,1,20.81
331,800,Laptop,East,4,625.99,2334.44,2023-01-14 18:00:00,1,6.77
332,364,Laptop,West,6,91.71,491.44,2023-01-14 19:00:00,4,10.69
333,202,Headphones,Central,3,1891.14,5335.28,2023-01-14 20:00:00,3,5.96
334,882,Monitor,South,8,380.94,3044.47,2023-01-14 21:00:00,5,0.1
335,146,Laptop,West,4,68.64,261.66,2023-01-14 22:00:00,2,4.7
336,836,Headphones,East,3,512.41,1535.69,2023-01-14 23:00:00,3,0.1
337,639,Keyboard,East,4,508.31,1667.26,2023-01-15 00:00:00,1,18.0
338,457,Monitor,North,6,872.91,4680.19,2023-01-15 01:00:00,4,10.64
